config_type,key,file,line,symbol,context,usage_surface,note
cli_option,--action,v3/@claude-flow/cli/src/commands/claims.ts,283,roles,"{ name: 'action', short: 'a', type: 'string', description: 'Action: list, create, delete, show', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/claims.ts,339,policies,"{ name: 'action', short: 'a', type: 'string', description: 'Action: list, create, delete', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/deployment.ts,207,environments,"{ name: 'action', short: 'a', type: 'string', description: 'Action: list, create, delete', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/embeddings.ts,406,collections,"{ name: 'action', short: 'a', type: 'string', description: 'Action: list, stats', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/embeddings.ts,524,index,"{ name: 'action', short: 'a', type: 'string', description: 'Action: build, rebuild, status, optimize', default: 'status' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/embeddings.ts,955,hyperbolic,"{ name: 'action', short: 'a', type: 'string', description: 'Action: convert, distance, centroid', default: 'convert' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/embeddings.ts,1305,cache,"{ name: 'action', short: 'a', type: 'string', description: 'Action: stats, clear, persist', default: 'stats' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/hive-mind.ts,1119,consensus,"{ name: 'action', short: 'a', description: 'Consensus action', type: 'string', choices: ['propose', 'vote', 'status', 'list'], default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/hive-mind.ts,1169,memory,"{ name: 'action', short: 'a', description: 'Memory action', type: 'string', choices: ['get', 'set', 'delete', 'list'], default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/neural.ts,557,patterns,"{ name: 'action', short: 'a', type: 'string', description: 'Action: analyze, learn, predict, list', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/process.ts,52,daemon,"name: 'action',",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/process.ts,380,workers,"name: 'action',",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/security.ts,339,audit,"{ name: 'action', short: 'a', type: 'string', description: 'Action: log, list, export, clear', default: 'list' },",runtime,declared in command options[]
cli_option,--action,v3/@claude-flow/cli/src/commands/security.ts,379,secrets,"{ name: 'action', short: 'a', type: 'string', description: 'Action: scan, list, rotate', default: 'scan' },",runtime,declared in command options[]
cli_option,--activate,v3/@claude-flow/cli/src/commands/session.ts,632,import,"name: 'activate',",runtime,declared in command options[]
cli_option,--active,v3/@claude-flow/cli/src/commands/hooks.ts,2194,list,"{ name: 'active', short: 'a', type: 'boolean', description: 'Show active worker instances' },",runtime,declared in command options[]
cli_option,--active,v3/@claude-flow/cli/src/commands/providers.ts,17,list,"{ name: 'active', short: 'a', type: 'boolean', description: 'Show only active providers' },",runtime,declared in command options[]
cli_option,--active,v3/@claude-flow/cli/src/commands/session.ts,55,list,"name: 'active',",runtime,declared in command options[]
cli_option,--add,v3/@claude-flow/cli/src/commands/config.ts,236,providers,"name: 'add',",runtime,declared in command options[]
cli_option,--add-missing,v3/@claude-flow/cli/src/commands/init.ts,682,upgrade,"name: 'add-missing',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/hooks.ts,655,explain,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/hooks.ts,1631,post-task,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/issues.ts,105,claim,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/issues.ts,170,release,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/issues.ts,370,steal,"{ name: 'agent', short: 'a', type: 'string', description: 'Steal as agent', required: true },",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/issues.ts,412,load,"{ name: 'agent', short: 'a', type: 'string', description: 'Specific agent ID' },",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/route.ts,93,task,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/route.ts,392,feedback,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/route.ts,837,route,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/task.ts,254,list,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent,v3/@claude-flow/cli/src/commands/task.ts,589,assign,"name: 'agent',",runtime,declared in command options[]
cli_option,--agent-id,v3/@claude-flow/cli/src/commands/hive-mind.ts,1079,join,"{ name: 'agent-id', short: 'a', description: 'Agent ID to join', type: 'string' },",runtime,declared in command options[]
